,Task,BeckyBee,FlowerGarden,StoneFactory,Strawberries,TheGift,ClassroomSeating,ColourTheFrog!,OhridPearls,Tic-Tac-Toe,WheatStorage,ConnectionOfIslands,FavouriteMovie,Mysteria,Ordering1,UndergroundTrainNetwork,Cipher8,InLove,MarysNeighbours,NutsAndBolts,RugWeaving,BeaverAI,HangarCarousel,OverlappingVillages,ThePrinter,CollectingStones,FavouriteGem,FourTiles,Maze,ColourfulCandles,ListenAndWalk,Lists,MovieNight,Words,BeaverDam,JumpingGame,TreasureBox,BeaverDatabase,BeaverGames,Ordering2,SeashellsAndPebbles,Virus
0,Age,7+8,7+8,7+8,7+8,7+8,7+8,7+8,7+8,7+8,7+8,7+8,7+8,7+8,7+8,7+8,9+10,9+10,9+10,9+10,9+10,9+10,9+10,9+10,9+10,9+10,9+10,9+10,9+10,11+12,11+12,11+12,11+12,11+12,11+12,11+12,11+12,11+12,11+12,11+12,11+12,11+12
1,Difficulty,easy,easy,easy,easy,easy,medium,medium,medium,medium,medium,hard,hard,hard,hard,hard,easy,easy,easy,easy,easy,medium,medium,medium,medium,hard,hard,hard,hard,easy,easy,easy,easy,easy,medium,medium,medium,hard,hard,hard,hard,hard
2,Decomposition,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
3,Pattern Recognition,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
4,Abstraction,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5,Modelling & Simulation,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
6,Algorithms,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
7,Evaluation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
8,Gemini_2.5,0,6,6,6,6,9,9,9,0,0,12,12,0,12,12,6,6,0,0,6,9,0,0,9,0,12,0,0,6,0,6,6,6,9,0,9,0,12,12,0,12
9,Gemini_2.5_retry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,9,0,0,0,0,0,0
10,Gpt_4o,0,6,6,0,6,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,6,0,0,0,0,9,0,0,12,0,0
11,Gpt_4o_retry,0,0,0,0,0,9,0,0,0,0,0,12,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
12,Gpt_5,6,6,6,6,6,9,9,9,9,9,12,12,0,12,12,6,6,0,0,6,9,0,0,9,12,12,12,12,6,6,6,6,6,9,9,9,12,12,12,0,12
13,Gpt_5_retry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
